"Date","Load","Load.1","Load.7","Net_demand","Solar_power","Wind_power","Temp","Temp_s95","Temp_s99","Temp_s95_min","Temp_s95_max","Temp_s99_min","Temp_s99_max","Wind","Wind_weighted","Nebulosity","Nebulosity_weighted","toy","WeekDays","BH_before","BH","BH_after","Year","Month","DLS","Summer_break","Christmas_break","Holiday","Holiday_zone_a","Holiday_zone_b","Holiday_zone_c","BH_Holiday","Solar_power.1","Solar_power.7","Wind_power.1","Wind_power.7","Net_demand.1","Net_demand.7","Covid","Price","Price_Diff","Inflation","Time","WeekDays2","WeekDays3","Season","Temp_trunc1","Temp_trunc2"
2018-01-01,56302.0416666667,55543.5208333333,58095.3958333333,46217.5416666667,315.9375,9768.5625,281.32507401744,282.181773415769,281.847182718015,281.530543278002,283.592349680698,281.745439724976,281.995048506124,7.12141257591389,7.4444288879484,84.714358657292,86.0179496355147,0.003,"0",0,1,1,2018,"janvier",0,0,1,1,1,1,1,11,478.375,373.020833333333,9908.6875,4764.54166666667,45156.4583333333,52957.8333333333,0,16.9157,0.0309,110.26,17532,"lundi","lundi","hiver",0,0
2018-01-02,63102.9583333333,56302.0416666667,63104.6041666667,55727.3333333333,242.958333333333,7132.66666666667,281.837703645479,281.391778762091,281.610829809646,280.675465882858,282.657090351823,281.461194502416,281.855439160531,5.20536532473274,5.62364245778209,91.1195769045803,90.3253631160207,0.005,"1",0,0,0,2018,"janvier",0,0,1,1,1,1,1,1,315.9375,335.166666666667,9768.5625,8200.45833333333,46217.5416666667,54568.9791666667,0,16.9157,0.0309,110.26,17533,"mardi","WorkDay","hiver",0,0
2018-01-03,63761.2708333333,63102.9583333333,65802.2916666667,53662.3958333333,240.979166666667,9857.89583333333,284.043267983705,283.670918190946,282.368576987832,282.731390915858,284.137356635253,281.878315785251,282.66741055247,8.63188126806767,9.41202951151963,92.6180887397655,91.5403994340997,0.008,"2",0,0,0,2018,"janvier",0,0,1,1,1,1,1,1,242.958333333333,293.416666666667,7132.66666666667,8523.0625,55727.3333333333,56985.8125,0,16.9157,0.0309,110.26,17534,"mercredi","WorkDay","hiver",0,0
2018-01-04,63169.1875,63761.2708333333,69261.8125,53901.0833333333,246.5625,9021.54166666667,284.897598938756,284.45918489952,283.122735290796,283.546382062253,285.3446164765,282.672452004853,283.52863163005,7.03537946520039,7.65739063768322,93.6018519010364,91.4933750602444,0.011,"3",0,0,0,2018,"janvier",0,0,1,1,1,1,1,1,240.979166666667,426.145833333333,9857.89583333333,3599.375,53662.3958333333,65236.2916666667,0,16.9157,0.0309,110.26,17535,"jeudi","WorkDay","hiver",0,0
2018-01-05,62318.7083333333,63169.1875,69487.4583333333,56636.4791666667,347.4375,5334.79166666667,282.891013761059,283.724364593938,283.455792737046,282.600028454852,284.63886572074,283.254118272215,283.52643033591,4.20150332779775,4.38645374750644,89.1207620053518,87.1347004470071,0.014,"4",0,0,0,2018,"janvier",0,0,1,1,1,1,1,1,246.5625,190.5625,9021.54166666667,7085.16666666667,53901.0833333333,62211.7291666667,0,16.9157,0.0309,110.26,17536,"vendredi","vendredi","hiver",0,0
2018-01-06,59227.125,62318.7083333333,59893.6875,57078.3958333333,212.895833333333,1935.83333333333,280.962141258948,281.538417224717,282.753735564046,281.144173383437,282.503189001344,282.385466487925,283.228209483339,2.99507262295125,2.63278607580756,94.1472043088042,95.0387701312289,0.016,"5",0,0,0,2018,"janvier",0,0,1,1,1,1,1,11,347.4375,307.0625,5334.79166666667,9747.95833333333,56636.4791666667,49838.6666666667,0,16.9157,0.0309,110.26,17537,"samedi","samedi","hiver",0,0
2018-01-07,58761.9791666667,59227.125,55543.5208333333,50231.2916666667,183.041666666667,8347.64583333333,280.826731525649,280.949026933504,282.052208131503,280.782212302599,281.119458099895,281.791296012359,282.368110500172,6.65050940085602,6.41146670935904,95.4611431936704,93.3327307168037,0.019,"6",0,0,0,2018,"janvier",0,0,1,1,1,1,1,11,212.895833333333,478.375,1935.83333333333,9908.6875,57078.3958333333,45156.4583333333,0,16.9157,0.0309,110.26,17538,"dimanche","dimanche","hiver",0,0
2018-01-08,67164.8333333333,58761.9791666667,56302.0416666667,62794.25,288.291666666667,4082.29166666667,280.048421436506,280.413070978315,281.445584583629,279.913996668497,280.801862961172,281.11388357739,281.775064497387,4.58053315615701,4.18101527287496,93.6004942188907,94.5032772844556,0.022,"0",0,0,0,2018,"janvier",0,0,0,0,0,0,0,0,183.041666666667,315.9375,8347.64583333333,9768.5625,50231.2916666667,46217.5416666667,0,16.9157,0.0309,110.26,17539,"lundi","lundi","hiver",0,0
2018-01-09,68683.5416666667,67164.8333333333,63102.9583333333,65676.3541666667,381.875,2625.3125,279.854265224357,279.621758852056,280.71727227351,278.828955116504,280.501381187994,280.565423652901,281.087687068859,3.24725405068222,3.10442918287986,94.1824232766911,93.0752924884361,0.025,"1",0,0,0,2018,"janvier",0,0,0,0,0,0,0,0,288.291666666667,242.958333333333,4082.29166666667,7132.66666666667,62794.25,55727.3333333333,0,16.9157,0.0309,110.26,17540,"mardi","WorkDay","hiver",0,0
2018-01-10,67405.125,68683.5416666667,63761.2708333333,64434.7916666667,417.916666666667,2552.41666666667,280.889046655623,280.806328889258,280.739108023815,280.335076691723,281.473167124279,280.621480000537,280.879158419388,3.07813849421948,3.21915845712559,90.7431891710347,89.8694852910087,0.027,"2",0,0,0,2018,"janvier",0,0,0,0,0,0,0,0,381.875,240.979166666667,2625.3125,9857.89583333333,65676.3541666667,53662.3958333333,0,16.9157,0.0309,110.26,17541,"mercredi","WorkDay","hiver",0,0
